Crack_length,Load,u,Specimen_name
74.7642,107.178602,15.539621,
74.7642,106.918144,15.554213,
74.7642,106.908126,15.568725,
74.7642,106.602588,15.582425,
74.7642,106.878073,15.592437,
74.7642,106.757862,15.606705,
75.00852,106.522447,15.622311,
75.00852,106.457333,15.636862,
75.00852,106.522447,15.651009,
75.00852,106.843011,15.656035,
75.00852,106.026575,15.672451,
75.00852,106.30206,15.687692,
75.00852,106.757862,15.695799,
75.00852,106.607597,15.713026,
75.00852,106.532465,15.727091,
75.25285,106.953205,15.735847,
75.25285,106.822976,15.754208,
75.25285,106.362165,15.763572,
75.25285,106.462342,15.778448,
75.25285,106.732818,15.794297,
75.25285,106.687738,15.807795,
75.25285,106.522447,15.818009,
75.25285,106.602588,15.834061,
75.25285,106.34213,15.848491,
75.25285,106.026575,15.860246,
75.25285,106.672712,15.872406,
75.25285,106.622624,15.883553,
75.25285,106.737826,15.898956,
75.25285,106.502412,15.91671,
75.25285,106.547491,15.923236,
75.25285,106.717791,15.940787,
75.49718,106.742835,15.951245,
75.49718,106.7228,15.965067,
75.49718,106.211901,15.983875,
75.49718,106.84802,15.988941,
75.49718,106.522447,16.002196,
75.49718,106.672712,16.018977,
75.49718,107.158567,16.027732,
75.49718,106.883082,16.044108,
75.49718,106.642659,16.057079,
75.49718,106.802941,16.068307,
75.49718,106.913135,16.083751,
75.49718,106.532465,16.09891,
75.49718,106.928161,16.108152,
75.49718,106.522447,16.121123,
75.74151,106.84802,16.139282,
75.74151,107.098461,16.145565,
75.74151,106.5525,16.164251,
75.74151,106.963223,16.17248,
75.74151,107.123505,16.186099,
75.74151,106.447315,16.20284,
75.74151,106.692747,16.211555,
75.74151,106.817967,16.226349,
75.74151,106.883082,16.24236,
75.74151,106.868056,16.245684,
75.74151,106.612606,16.265424,
75.98583,106.577544,16.279246,
75.98583,106.903117,16.29169,
75.98583,106.176839,16.307093,
75.98583,106.081672,16.322942,
75.98583,106.567527,16.332062,
75.98583,106.266998,16.348681,
76.23016,105.741072,16.364611,
76.23016,106.958214,16.370205,
76.23016,106.282024,16.384757,
76.23016,106.492394,16.388445,
76.23016,105.856275,16.419008,
76.47449,106.091689,16.442315,
76.47449,106.607597,16.456056,
76.47449,106.407245,16.448395,
76.47449,106.777897,16.471297,
76.47449,105.490632,16.499103,
76.47449,106.327104,16.492334,
76.47449,105.295288,16.512925,
76.47449,106.146786,16.50794,
76.47449,106.181848,16.537854,
76.47449,105.570773,16.546609,
76.47449,105.555746,16.559823,
76.71882,106.282024,16.571335,
76.71882,106.116733,16.580942,
76.71882,106.236945,16.591116,
76.71882,105.731055,16.621273,
76.71882,105.600826,16.62561,
76.71882,105.841249,16.629704,
76.71882,105.871302,16.651066,
76.71882,105.781143,16.662294,
76.71882,106.307068,16.672873,
76.71882,105.891337,16.69014,
76.71882,106.322095,16.699625,
76.71882,105.846257,16.713893,
76.71882,105.475605,16.730269,
76.96314,106.181848,16.738092,
76.96314,105.435535,16.75536,
76.96314,105.520685,16.767844,
76.96314,105.711019,16.78195,
76.96314,105.595817,16.79788,
76.96314,106.106716,16.804974,
76.96314,104.924636,16.824227,
76.96314,105.525693,16.832091,
76.96314,105.109962,16.851061,
77.20747,105.610843,16.863018,
77.20747,104.659169,16.883042,
77.20747,104.899592,16.885028,
77.20747,105.104953,16.901364,
77.20747,105.270244,16.918793,
77.20747,105.104953,16.931278,
77.20747,104.869539,16.941127,
77.20747,105.385447,16.954869,
77.20747,105.58079,16.966137,
77.20747,105.215147,16.989647,
77.20747,105.345376,16.993741,
77.20747,105.315323,17.007279,
77.20747,105.260226,17.024547,
77.4518,105.420508,17.034761,
77.4518,105.565764,17.047327,
77.4518,105.645905,17.058352,
77.4518,105.79116,17.06881,
77.4518,105.515676,17.088915,
77.4518,105.555746,17.101642,
77.4518,105.746081,17.110884,
77.4518,105.660931,17.125639,
77.4518,105.550737,17.142704,
77.4518,106.086681,17.1485,
77.4518,105.851266,17.161471,
77.6961,105.2452,17.177076,
77.6961,106.181848,17.187777,
77.6961,105.746081,17.205856,
77.6961,106.096698,17.217408,
77.6961,105.675958,17.231352,
77.6961,105.841249,17.245498,
77.6961,105.605834,17.251943,
77.6961,106.001531,17.272656,
77.6961,106.146786,17.284775,
77.6961,105.926398,17.294706,
77.6961,105.620861,17.31396,
77.6961,105.841249,17.328998,
77.6961,105.986504,17.336375,
77.6961,105.450561,17.350846,
77.6961,105.841249,17.365965,
77.9405,105.846257,17.378409,
77.9405,105.545729,17.388218,
77.9405,105.545729,17.402203,
77.9405,105.761108,17.417362,
77.9405,105.650914,17.435279,
77.9405,105.465588,17.442696,
77.9405,105.45557,17.455708,
77.9405,105.79116,17.475205,
77.9405,106.066645,17.48396,
77.9405,105.590808,17.498228,
77.9405,106.006539,17.509942,
77.9405,106.021566,17.521292,
77.9405,106.051619,17.543626,
78.1848,106.191866,17.549382,
78.1848,106.016557,17.563407,
78.1848,106.497403,17.579093,
78.1848,105.75109,17.587727,
78.1848,106.30206,17.600617,
