N_cycles,Load,exx,eyy,Specimen_name
11500,659.403128,0.00694534,-0.00151829,
11500,630.682241,0.00644707,-0.00146115,
11500,499.085945,0.00506856,-0.00106293,
11500,296.378297,0.00328961,-0.000558731,
11500,146.204845,0.00198612,-0.000343568,
11500,71.634959,0.00150663,-0.000188638,
11500,95.32266,0.00192255,-0.000327432,
11500,235.062702,0.00343889,-0.000630663,
12000,423.646576,0.00516956,-0.00102669,
12000,584.108621,0.00642819,-0.00144301,
12000,657.992684,0.00695352,-0.00152045,
12000,628.943338,0.00644884,-0.00146315,
12000,497.337382,0.00504708,-0.00106932,
12000,295.779342,0.00330621,-0.000542919,
12000,144.562549,0.00198422,-0.000334138,
12000,69.210158,0.00150347,-0.000202329,
12000,95.689761,0.0019397,-0.000336696,
12000,236.695337,0.00345634,-0.000634438,
12500,426.60271,0.00519641,-0.00103061,
12500,584.524025,0.00644293,-0.00145373,
12500,658.707567,0.00695239,-0.00152015,
12500,629.349082,0.00645356,-0.00146194,
12500,495.067149,0.00503769,-0.00106104,
12500,292.890834,0.00328355,-0.000545896,
12500,144.852366,0.00199249,-0.0003406,
12500,69.722168,0.00150523,-0.00020976,
12500,97.786104,0.00196187,-0.000333259,
12500,236.038419,0.00346789,-0.000640113,
13000,427.4625,0.00520399,-0.00102677,
13000,585.093999,0.00644628,-0.00144762,
13000,658.939421,0.00695964,-0.00152366,
13000,627.107829,0.00645443,-0.00145685,
13000,493.676027,0.00503071,-0.00106296,
13000,289.818775,0.00326297,-0.000552658,
13000,144.610852,0.00200737,-0.000340766,
13000,68.39867,0.00150729,-0.000210851,
13000,94.907256,0.00197147,-0.000330145,
13000,237.980192,0.00348281,-0.000640957,
13500,430.795395,0.00522308,-0.00104289,
13500,588.368933,0.00646799,-0.00145415,
13500,655.026888,0.00694661,-0.00151788,
13500,628.759787,0.00647028,-0.00147286,
13500,493.067411,0.00503781,-0.00106242,
13500,288.060552,0.00326279,-0.000554459,
13500,144.272732,0.00201329,-0.000344207,
13500,68.765772,0.00151315,-0.000205725,
13500,94.820311,0.00198437,-0.000336539,
13500,241.409692,0.00352756,-0.000653733,
14000,429.626467,0.00522336,-0.001036,
14000,587.808619,0.00648114,-0.00146561,
14000,658.330805,0.00696525,-0.00152351,
14000,627.107829,0.00645985,-0.00146523,
14000,491.434775,0.00502815,-0.00105352,
14000,286.669431,0.00325248,-0.000556863,
14000,143.809025,0.00201617,-0.00034445,
14000,69.867076,0.00152739,-0.000215185,
14000,97.119525,0.00200192,-0.000342218,
14000,239.82536,0.00353574,-0.000651313,
14500,431.03691,0.00525757,-0.00104872,
14500,588.137079,0.00649574,-0.00146106,
14500,659.538376,0.00698601,-0.00153319,
14500,627.001562,0.00644846,-0.0014502,
14500,489.666891,0.00503168,-0.00104794,
14500,286.785358,0.00324876,-0.000568946,
14500,140.814251,0.00201527,-0.000346325,
14500,68.659506,0.00152484,-0.000214897,
14500,97.090543,0.00201585,-0.000346533,
14500,245.013082,0.00355849,-0.000651336,
15000,430.447615,0.0052596,-0.00105297,
15000,590.136817,0.00652122,-0.00147899,
15000,659.905478,0.0069765,-0.00153763,
15000,624.074409,0.00645115,-0.00146848,
15000,489.290129,0.00503508,-0.00105606,
15000,285.172044,0.00324572,-0.000553349,
15000,138.978744,0.00201327,-0.000347977,
15000,69.25846,0.00155333,-0.00020948,
15000,98.897068,0.00204293,-0.0003535,
15000,243.332144,0.00356588,-0.00066011,
15500,433.790171,0.00529739,-0.00106082,
15500,591.36371,0.00652113,-0.00147175,
15500,657.644904,0.00697593,-0.00153014,
15500,626.248038,0.00645529,-0.00146087,
15500,485.425902,0.00500878,-0.00105896,
15500,285.886925,0.00324757,-0.000550185,
15500,140.099369,0.00200488,-0.000343196,
15500,70.466031,0.00154958,-0.00020626,
15500,97.776443,0.00203957,-0.000348048,
15500,245.032403,0.00359541,-0.000669696,
16000,432.872417,0.00529868,-0.00105283,
16000,593.006007,0.00655105,-0.00147342,
16000,658.108611,0.0069857,-0.00153024,
16000,623.630022,0.00645363,-0.00145428,
16000,487.473942,0.00502597,-0.00104727,
16000,283.819565,0.00323648,-0.000558284,
16000,139.08501,0.00201788,-0.000336953,
16000,69.741489,0.00156306,-0.000219904,
16000,99.360775,0.00206409,-0.000358746,
16000,246.906552,0.0036177,-0.000661736,
16500,435.422807,0.00531932,-0.00106283,
16500,592.416712,0.0065629,-0.00148807,
16500,660.079369,0.00700517,-0.00152938,
16500,623.311223,0.00644645,-0.00146071,
16500,483.918853,0.00500452,-0.00103952,
16500,282.611994,0.00325756,-0.000544823,
16500,137.896761,0.00200473,-0.000346919,
16500,68.591882,0.00157231,-0.000193758,
16500,100.606988,0.00207339,-0.000354208,
16500,248.626133,0.00364462,-0.000682333,
17000,436.707662,0.00534508,-0.00106187,
17000,592.687208,0.00655036,-0.001472,
17000,658.466053,0.00699853,-0.00153508,
17000,623.514095,0.00644788,-0.00145726,
17000,483.648357,0.00500643,-0.0010429,
17000,280.544634,0.00322532,-0.000554924,
17000,137.751853,0.00201474,-0.000343771,
17000,70.301801,0.00157213,-0.000216893,
17000,99.534666,0.00208517,-0.000362337,
17000,250.500282,0.00366696,-0.000680369,
17500,438.417582,0.00534984,-0.00106845,
17500,594.271542,0.00657387,-0.00147524,
17500,659.287201,0.00701232,-0.00153626,
17500,622.190597,0.00643726,-0.00144701,
17500,481.165592,0.00499516,-0.00103593,
17500,279.887715,0.00322591,-0.000549383,
17500,135.056556,0.0019967,-0.000338178,
17500,68.756111,0.00159002,-0.000208073,
17500,101.15764,0.00210121,-0.000367092,
17500,250.12352,0.00367494,-0.000688186,
18000,440.26275,0.00536976,-0.00106856,
18000,593.546999,0.00658158,-0.00147865,
18000,660.089029,0.00702559,-0.00154341,
18000,620.799474,0.0064358,-0.00144857,
18000,479.330084,0.00499193,-0.00102613,
18000,280.071266,0.00323488,-0.000560341,
18000,136.012951,0.00200976,-0.000337436,
18000,67.606504,0.00158486,-0.000220425,
18000,103.205679,0.00213054,-0.000364384,
18000,251.678871,0.0036898,-0.000681875,
18500,440.272411,0.00539854,-0.00108231,
18500,596.020106,0.00660543,-0.00148688,
18500,659.634982,0.00702219,-0.00154164,
18500,621.185897,0.00644303,-0.00145584,
18500,479.069248,0.00497889,-0.00103593,
18500,275.144379,0.00321982,-0.000541181,
18500,135.616868,0.00200029,-0.000342185,
18500,66.350631,0.00159016,-0.000203281,
18500,103.476175,0.00213617,-0.000370098,
18500,255.842573,0.0037256,-0.000686757,
19000,440.446301,0.00539163,-0.00107707,
19000,595.42115,0.00659792,-0.00148488,
19000,659.171275,0.00702996,-0.0015459,
19000,620.277803,0.00643949,-0.00144961,
