stress_ratio,cycles_to_failure,stress,stress_lowerbound,stress_upperbound
10.00000,1030000.,18.18789,17.05918,19.03520
10.00000,1040000.,18.18165,17.05199,19.02950
10.00000,1050000.,18.17547,17.04488,19.02386
10.00000,1060000.,18.16935,17.03783,19.01827
10.00000,1070000.,18.16329,17.03085,19.01274
10.00000,1080000.,18.15729,17.02394,19.00727
10.00000,1090000.,18.15134,17.01710,19.00184
10.00000,1100000.,18.14545,17.01032,18.99647
10.00000,1110000.,18.13962,17.00360,18.99115
10.00000,1120000.,18.13384,16.99695,18.98587
10.00000,1130000.,18.12811,16.99035,18.98066
10.00000,1140000.,18.12244,16.98382,18.97548
10.00000,1150000.,18.11682,16.97734,18.97035
10.00000,1160000.,18.11124,16.97093,18.96527
10.00000,1170000.,18.10572,16.96457,18.96024
10.00000,1180000.,18.10024,16.95827,18.95524
10.00000,1190000.,18.09482,16.95201,18.95030
10.00000,1200000.,18.08944,16.94582,18.94539
10.00000,1210000.,18.08411,16.93967,18.94054
10.00000,1220000.,18.07882,16.93358,18.93572
10.00000,1230000.,18.07358,16.92755,18.93094
10.00000,1240000.,18.06838,16.92157,18.92620
10.00000,1250000.,18.06322,16.91562,18.92151
10.00000,1260000.,18.05811,16.90973,18.91684
10.00000,1270000.,18.05304,16.90389,18.91222
10.00000,1280000.,18.04801,16.89810,18.90764
10.00000,1290000.,18.04302,16.89235,18.90310
10.00000,1300000.,18.03807,16.88665,18.89859
10.00000,1310000.,18.03316,16.88099,18.89412
10.00000,1320000.,18.02828,16.87539,18.88968
10.00000,1330000.,18.02345,16.86981,18.88528
10.00000,1340000.,18.01866,16.86430,18.88091
10.00000,1350000.,18.01390,16.85881,18.87658
10.00000,1360000.,18.00917,16.85337,18.87228
10.00000,1370000.,18.00449,16.84797,18.86801
10.00000,1380000.,17.99983,16.84261,18.86378
10.00000,1390000.,17.99522,16.83729,18.85957
10.00000,1400000.,17.99063,16.83201,18.85541
10.00000,1410000.,17.98608,16.82677,18.85126
10.00000,1420000.,17.98157,16.82157,18.84715
10.00000,1430000.,17.97709,16.81640,18.84308
10.00000,1440000.,17.97264,16.81129,18.83902
10.00000,1450000.,17.96822,16.80619,18.83501
10.00000,1460000.,17.96383,16.80113,18.83101
10.00000,1470000.,17.95947,16.79612,18.82705
10.00000,1480000.,17.95515,16.79113,18.82312
10.00000,1490000.,17.95085,16.78618,18.81921
10.00000,1500000.,17.94659,16.78127,18.81533
10.00000,1510000.,17.94235,16.77639,18.81148
10.00000,1520000.,17.93814,16.77154,18.80765
10.00000,1530000.,17.93396,16.76673,18.80385
10.00000,1540000.,17.92981,16.76195,18.80008
10.00000,1550000.,17.92569,16.75719,18.79633
10.00000,1560000.,17.92159,16.75248,18.79260
10.00000,1570000.,17.91753,16.74780,18.78890
10.00000,1580000.,17.91348,16.74313,18.78523
