Machine_Time,Machine_N_cycles,Machine_Displacement,Machine_Load
17.05009152,1,0.283649474,0.869378567
17.10010368,1,0.284503877,0.873792231
17.15011584,1,0.28534472,0.879594326
17.20000512,1,0.286144882,0.884310722
17.25001728,1,0.287026405,0.889835775
17.30002944,1,0.287772328,0.894968152
17.3500416,1,0.288694531,0.90025121
17.40005376,1,0.289426893,0.905380607
17.45006592,1,0.290362656,0.910389304
17.50007808,1,0.291128933,0.915888429
17.55009024,1,0.292017221,0.92093581
17.6001024,1,0.292851299,0.926824808
17.65011456,1,0.293685377,0.931658208
17.70000384,1,0.294553339,0.937567055
17.750016,1,0.295326382,0.943077862
17.80002816,1,0.296235025,0.948298156
17.85004032,1,0.296960592,0.953860343
17.90005248,1,0.29788959,0.958981931
17.95006464,1,0.298635513,0.964844763
18.0000768,1,0.299537361,0.96973753
18.05008896,1,0.300317198,0.975807011
18.10010112,1,0.301158041,0.980794907
18.15011328,1,0.302012444,0.987405121
18.20000256,1,0.302792251,0.992316782
18.25001472,1,0.303707689,0.998023331
18.30002688,1,0.304473937,1.003702164
18.35003904,1,0.305396169,1.009349465
18.4000512,1,0.306114942,1.015082121
18.45006336,1,0.30703038,1.020006537
18.50007552,1,0.307796627,1.025990725
18.55008768,1,0.308657825,1.031290293
18.60009984,1,0.309485108,1.037785649
18.650112,1,0.31029883,1.042752028
18.70000128,1,0.311173588,1.048951983
18.75001344,1,0.311953396,1.054448128
18.8000256,1,0.312889159,1.060358882
18.85003776,1,0.313641876,1.066677928
18.90004992,1,0.314570874,1.072045088
18.95006208,1,0.315296441,1.077895284
19.00007424,1,0.316225439,1.083543539
19.0500864,1,0.316991687,1.090087652
19.10009856,1,0.31785965,1.09565413
19.15011072,1,0.318693727,1.102132678
19.20012288,1,0.319500655,1.107512712
19.25001216,1,0.320395738,1.114115715
19.30002432,1,0.321161985,1.11978972
19.35003648,1,0.322077423,1.125896215
19.40004864,1,0.322809786,1.131700754
19.4500608,1,0.323731989,1.13765502
19.50007296,1,0.324464351,1.144249678
19.55008512,1,0.325366229,1.149683475
19.60009728,1,0.326159596,1.156437039
19.65010944,1,0.327013999,1.162204981
19.7001216,1,0.327854842,1.168993711
19.75001088,1,0.328641444,1.174738884
19.80002304,1,0.329550117,1.180989861
19.8500352,1,0.33029601,1.187257409
