Machine_Displacement,Machine_Load,u--1,v--1,exx--1,eyy--1,exy--1,Th_chamber
0.70574,409.248402,0.00911538,-0.360149,-0.00271602,0.00647226,7.85e-05,50
0.712762,411.132813,0.010366,-0.36284,-0.00278188,0.00652962,8.1e-05,50
0.717079,410.794586,0.0105852,-0.365434,-0.00274103,0.00657416,7.76e-05,50
0.718754,415.25597,0.00896922,-0.368099,-0.00274516,0.00661821,7.28e-05,50
0.70967,422.004418,0.00554904,-0.370745,-0.00278675,0.00666741,7.37e-05,50
0.731768,421.344069,0.00497524,-0.373529,-0.00284183,0.00672765,7.7e-05,50
0.726678,424.565285,0.00679001,-0.376152,-0.002821,0.00676884,7.03e-05,50
0.738983,426.755713,0.00624514,-0.378842,-0.00290384,0.00682218,8.36e-05,50
0.748003,427.738184,0.005888,-0.381748,-0.00287685,0.00688284,8.12e-05,50
0.748389,431.378158,0.00848569,-0.384548,-0.00293283,0.00693479,7.63e-05,50
0.733829,437.160242,0.00993062,-0.387292,-0.00295138,0.00699634,9.7e-05,50
0.757666,436.274407,0.00974417,-0.389995,-0.00293326,0.00705023,7.34e-05,50
0.756313,439.624472,0.00787523,-0.392867,-0.00296213,0.00710335,7e-05,50
0.763851,443.779841,0.00755722,-0.39569,-0.00304403,0.00714492,5.8e-05,50
0.772677,443.409402,0.00859168,-0.398299,-0.0030307,0.0071932,2.57e-05,50
0.77738,446.389027,0.00692677,-0.400781,-0.0029961,0.00724377,1.72e-05,50
0.783758,448.59556,0.00444213,-0.40365,-0.00307038,0.00728526,2.77e-05,50
0.785304,449.916259,0.00645984,-0.406433,-0.00307669,0.00734103,4.64e-05,50
0.80038,453.298536,0.00822963,-0.409136,-0.00310231,0.00738751,3.95e-05,50
0.796965,457.904876,0.00805487,-0.411489,-0.00313125,0.00743202,5.54e-05,50
0.807595,456.229843,0.00681421,-0.414461,-0.00316475,0.00748953,6.37e-05,50
0.800895,462.317943,0.00713876,-0.417208,-0.00315437,0.00754304,4.95e-05,50
0.822026,463.300414,0.00919416,-0.419921,-0.00318001,0.00758731,7.02e-05,50
0.818612,467.826223,0.00781453,-0.422474,-0.00321621,0.00765023,5.88e-05,50
0.815906,470.612576,0.00408474,-0.425019,-0.00327455,0.00770317,6.68e-05,50
0.838261,467.971178,0.0046098,-0.427746,-0.00325746,0.00774967,7.11e-05,50
0.846121,471.208501,0.00608604,-0.430441,-0.00324319,0.00781219,8.2e-05,50
0.847216,475.814841,0.00565952,-0.433025,-0.00325889,0.00786758,7.37e-05,50
0.852241,476.84563,0.00453723,-0.435796,-0.00333128,0.00792269,9.39e-05,50
0.84567,480.856045,0.00503369,-0.438458,-0.00334363,0.00799065,0.000110659,50
0.856815,481.757986,0.00755747,-0.441243,-0.00338321,0.00805528,0.000124918,50
0.856493,483.916201,0.00742023,-0.443918,-0.00345463,0.00811707,0.000114506,50
