Machine_Time,Machine_N_cycles,Machine_Displacement,Machine_Load,MD_index--1,MD_N_cycles--1,MD_Displacement--1,MD_Load--1,u--1,v--1,exx--1,eyy--1,exy--1,Crack_length,Crack_N_cycles,Crack_Displacement,Crack_Load,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips,Specimen_name
,,0.366482,310.952999,,,,,0.01834,-0.187699,-0.00140112,0.00327267,-1.8e-05,,,,,,,,,20,,,
,,0.352051,308.714254,,,,,0.018083,-0.189436,-0.00142615,0.00330462,-2.99e-05,,,,,,,,,20,,,
,,0.359009,310.37318,,,,,0.0199103,-0.191089,-0.00147008,0.00333472,-4.52e-05,,,,,,,,,20,,,
,,0.365258,317.298793,,,,,0.0210627,-0.192594,-0.00150622,0.00336294,-3.94e-05,,,,,,,,,20,,,
,,0.367062,317.169945,,,,,0.0190906,-0.194097,-0.00153434,0.00338739,-5.9e-05,,,,,,,,,20,,,
,,0.372538,321.180358,,,,,0.0182037,-0.195638,-0.00156958,0.00340183,-7.26e-05,,,,,,,,,20,,,
,,0.388837,322.726542,,,,,0.0201395,-0.196968,-0.00161111,0.00341345,-8.23e-05,,,,,,,,,20,,,
,,0.374406,323.660694,,,,,0.0208502,-0.198496,-0.00161948,0.00342536,-0.000100895,,,,,,,,,20,,,
,,0.394249,327.993229,,,,,0.0195066,-0.200054,-0.00162957,0.00346874,-0.000109764,,,,,,,,,20,,,
,,0.378014,326.559788,,,,,0.0196339,-0.201693,-0.00162536,0.00349908,-0.000103367,,,,,,,,,20,,,
,,0.384907,329.781004,,,,,0.0216824,-0.203244,-0.00169202,0.00352051,-7.91e-05,,,,,,,,,20,,,
,,0.395666,336.577769,,,,,0.0233309,-0.204795,-0.00169364,0.0035402,-8.2e-05,,,,,,,,,20,,,
,,0.397019,339.235272,,,,,0.0221155,-0.206295,-0.001663,0.00357823,-7.54e-05,,,,,,,,,20,,,
