N_cycles,Load,eyy,exx,Specimen_name
2610,351.413709,-0.00128758,0.00332548,
2610,253.416861,-0.00105555,0.00268367,
2610,172.726981,-0.000858675,0.00214878,
2610,108.402119,-0.000717805,0.00174876,
2610,77.840929,-0.000674132,0.00159881,
2610,75.952289,-0.000669436,0.00160916,
2610,98.871974,-0.000748015,0.00184245,
2610,159.593444,-0.000928332,0.00232733,
2610,243.282924,-0.00112468,0.00289962,
2610,338.207701,-0.00137467,0.003606,
2610,448.719934,-0.00164436,0.00435301,
2810,541.022112,-0.00184693,0.0050297,
2810,626.407448,-0.00205344,0.00560326,
2810,688.370729,-0.00218844,0.0059718,
2810,717.294689,-0.00225521,0.00615122,
2810,723.603091,-0.00224207,0.00613927,
2810,695.79976,-0.00215371,0.00587185,
2810,634.068323,-0.00198638,0.00540634,
2810,550.334936,-0.00176102,0.00478401,
2810,452.767721,-0.00151044,0.0040828,
2810,349.602351,-0.00125181,0.00336373,
2810,251.721431,-0.00101803,0.00271606,
2810,174.229199,-0.000829607,0.00219658,
2810,107.411911,-0.000679385,0.00178621,
2810,77.333749,-0.000629206,0.00164608,
2810,75.329182,-0.000636535,0.0016584,
2810,96.852916,-0.000710505,0.00187996,
2810,164.046964,-0.000892957,0.00239059,
2810,243.968825,-0.00109263,0.00295278,
2810,339.280025,-0.00134505,0.00365612,
2810,448.536383,-0.00161285,0.00440309,
3010,541.297439,-0.00183776,0.00506986,
3010,628.658373,-0.00205422,0.00565958,
3010,688.771646,-0.00218694,0.00602146,
3010,717.652133,-0.00225142,0.006199,
3010,723.545127,-0.00224503,0.00618117,
3010,696.277962,-0.00214418,0.00591137,
3010,634.300178,-0.00198202,0.00544412,
3010,552.638991,-0.00175767,0.00482359,
3010,450.589258,-0.00149929,0.00411906,
3010,347.375588,-0.0012382,0.00339543,
3010,252.431483,-0.00101626,0.00275729,
3010,171.050873,-0.000824028,0.00222831,
3010,106.991677,-0.000674317,0.00183002,
3010,75.45477,-0.000622817,0.00167296,
3010,74.450071,-0.000634624,0.00169216,
3010,98.147432,-0.000708416,0.00191878,
3010,161.641484,-0.000885764,0.00242103,
3010,245.451722,-0.00109861,0.00300469,
3010,339.125456,-0.00134403,0.00369256,
3010,450.579598,-0.00161464,0.00445612,
3210,541.722506,-0.00158536,0.00445457,
3210,627.281734,-0.00181626,0.00508176,
3210,689.032483,-0.00201993,0.00565625,
3210,719.41037,-0.00215291,0.00602642,
3210,722.883373,-0.00222047,0.00619804,
3210,696.079919,-0.00221942,0.00617838,
3210,633.570801,-0.00212254,0.00591352,
3210,551.841991,-0.00196187,0.0054406,
3210,449.46863,-0.00174041,0.00481771,
3210,349.104831,-0.00147645,0.00410811,
3210,250.794016,-0.00122977,0.00339847,
3210,171.00257,-0.000996513,0.00274598,
3210,107.807994,-0.000802889,0.00222221,
3210,76.609207,-0.000672386,0.00183442,
3210,74.000855,-0.00062864,0.00169906,
3210,98.683593,-0.000713256,0.00193071,
3210,162.795921,-0.000886014,0.00242649,
3210,246.118301,-0.00109491,0.00300025,
3210,340.845038,-0.00135103,0.00370914,
3210,451.342784,-0.00162139,0.00444571,
3410,544.760766,-0.00185332,0.0051415,
3410,626.851837,-0.00205964,0.00570408,
3410,689.872959,-0.00225336,0.0062521,
3410,721.410124,-0.00223418,0.00623024,
3410,695.891536,-0.00213831,0.00596668,
3410,634.710754,-0.00197785,0.0054854,
3410,551.233373,-0.00174887,0.00486856,
3410,450.033774,-0.00149163,0.00415698,
3410,346.776632,-0.00123304,0.00343313,
3410,253.344406,-0.00101274,0.00281213,
3410,169.935078,-0.000807773,0.00225843,
3410,105.619877,-0.000663975,0.00187418,
3410,78.159727,-0.000625986,0.00173442,
3410,73.121744,-0.000622726,0.00174138,
3410,99.949127,-0.000704891,0.00198792,
3410,164.916415,-0.00087818,0.00247847,
3410,244.543629,-0.00108678,0.00304284,
3410,343.178067,-0.00134195,0.00377406,
3410,451.961062,-0.0016019,0.00450565,
3610,543.355148,-0.00186746,0.00511052,
3610,629.605114,-0.00207398,0.00568354,
3610,688.675039,-0.00220145,0.00603587,
3610,717.391295,-0.0022719,0.00621661,
3610,724.530513,-0.00226283,0.00619469,
3610,695.075212,-0.00216242,0.0059221,
3610,631.759433,-0.0019951,0.00544713,
3610,548.866524,-0.0017681,0.00481834,
3610,447.420585,-0.00151139,0.00411348,
3610,348.008356,-0.00125049,0.00340566,
3610,250.702241,-0.00102382,0.00275225,
3610,170.814189,-0.000833921,0.00223532,
3610,106.668048,-0.000691097,0.00183083,
3610,76.541583,-0.000644532,0.0016873,
3610,76.49811,-0.000720799,0.00194409,
3610,165.090305,-0.000911516,0.00244643,
3610,246.973261,-0.00111454,0.00301399,
3610,342.598433,-0.00137043,0.00373176,
3610,453.265242,-0.00162972,0.00447306,
3810,545.016772,-0.00187953,0.0051396,
3810,630.701595,-0.00207715,0.00570876,
3810,688.124383,-0.0022052,0.00606566,
3810,719.540789,-0.00226506,0.0062471,
3810,722.086369,-0.00225711,0.00620991,
3810,694.640484,-0.00216601,0.00594907,
3810,633.363097,-0.0019911,0.00546401,
3810,548.050203,-0.00176485,0.00484446,
3810,447.565494,-0.00150939,0.00413242,
3810,347.902089,-0.00126125,0.00343469,
3810,249.32078,-0.00102489,0.00277029,
3810,169.538995,-0.000843192,0.00226539,
3810,108.604991,-0.000691357,0.00186901,
3810,74.358296,-0.000638359,0.00170334,
3810,75.541715,-0.000660229,0.00174854,
3810,103.137112,-0.000730704,0.00198921,
3810,163.931037,-0.000913784,0.0024731,
3810,247.552896,-0.00112767,0.00305909,
3810,344.375979,-0.00137386,0.00375786,
3810,453.762762,-0.00164514,0.00450706,
4010,546.857118,-0.00190414,0.00510694,
4010,628.692185,-0.00210363,0.00567293,
4010,689.853637,-0.00224151,0.00604736,
4010,720.144579,-0.00229811,0.00619955,
4010,722.69499,-0.00229413,0.00618705,
4010,695.698324,-0.00219844,0.00591537,
4010,631.208778,-0.00202233,0.00542249,
4010,548.088845,-0.00179062,0.00480388,
4010,448.232074,-0.0015421,0.00409401,
4010,345.462794,-0.00127935,0.00338052,
4010,249.629918,-0.00105459,0.0027455,
4010,170.645129,-0.00086178,0.0022074,
4010,105.644028,-0.000721359,0.00182134,
4010,76.560904,-0.000671461,0.00167495,
4010,74.904117,-0.00067284,0.00170145,
4010,102.427061,-0.000762544,0.0019493,
4010,164.82464,-0.000942561,0.00243447,
4010,249.538142,-0.0011551,0.00302777,
4010,343.153916,-0.00139369,0.00371791,
4010,454.110544,-0.00166853,0.0044672,
4210,543.514548,-0.00190162,0.00518528,
4210,629.832139,-0.00210466,0.00576838,
4210,690.186929,-0.00224005,0.00613032,
4210,718.20762,-0.00229996,0.00628514,
4210,723.429199,-0.00228892,0.00627293,
4210,693.08029,-0.00219358,0.00599009,
4210,631.329536,-0.00202832,0.00551674,
4210,547.306336,-0.00178668,0.00488093,
4210,444.870189,-0.00154155,0.00417697,
4210,346.337076,-0.00128941,0.00347187,
4210,246.871825,-0.0010529,0.00281306,
4210,167.688997,-0.00086673,0.00230152,
4210,104.880844,-0.000714631,0.00190352,
4210,76.652679,-0.000675251,0.00175836,
4210,75.618999,-0.000679189,0.00179364,
4210,100.195471,-0.000768676,0.00203345,
4210,164.201533,-0.000948011,0.00252757,
4210,249.214513,-0.00116189,0.00312511,
4210,346.419191,-0.00140817,0.00381432,
4210,452.062498,-0.00167069,0.00456193,
4410,546.190536,-0.00184973,0.00519246,
4410,630.638801,-0.00207253,0.0057652,
4410,691.607043,-0.00219906,0.00612717,
4410,719.188175,-0.00225553,0.00628609,
4410,722.54525,-0.00225699,0.0062651,
4410,694.1333,-0.00216104,0.00599162,
4410,630.078485,-0.00198415,0.00549728,
4410,547.282184,-0.00176022,0.00488649,
4410,447.647609,-0.00151381,0.00415872,
4410,342.018798,-0.00124666,0.0034458,
4410,250.204722,-0.00103353,0.00283412,
4410,168.210667,-0.000834424,0.00228689,
4410,104.011393,-0.000706007,0.0019057,
4410,77.401373,-0.000649091,0.00175809,
4410,74.401768,-0.000657676,0.0017737,
4410,101.311266,-0.000747699,0.00203827,
4410,167.592391,-0.000932377,0.00253145,
4410,248.354723,-0.00113921,0.00311167,
4410,346.283943,-0.00139107,0.00382514,
4410,454.564591,-0.00165952,0.00455235,
4610,545.712336,-0.00191251,0.00518886,
4610,632.976672,-0.002127,0.00576929,
4610,690.81004,-0.00226174,0.00611615,
4610,720.424738,-0.00231643,0.00628545,
4610,723.690036,-0.00231165,0.00625874,
4610,692.969193,-0.00221023,0.00597218,
4610,629.967388,-0.00203972,0.00549393,
4610,546.57213,-0.00181451,0.00485863,
4610,446.676719,-0.00155331,0.00416408,
4610,344.327676,-0.00129609,0.0034454,
