MD_N_cycles--1,MD_Load--1,MD_index--1 ,exx--1 ,eyy--1 ,exy--1
23500,817.827685,384,-0.00151215,0.00476687,-0.000143309
23500,905.863636,385,-0.0018631,0.00579639,-0.000167625
23500,839.73198,386,-0.00192893,0.00596765,-0.000164312
23500,639.468791,387,-0.0016504,0.00517527,-0.000158424
23500,381.417095,388,-0.00114547,0.00374278,-0.000120914
23500,161.746313,389,-0.000613794,0.00221493,-0.0000995
23500,82.19842,390,-0.000263132,0.00120518,-0.0000845
23500,159.781372,391,-0.000215484,0.00106246,-0.0000841
23500,367.082683,392,-0.000501736,0.00191322,-0.0000992
23500,622.444653,393,-0.00100881,0.00335095,-0.00011331
24500,874.02187,394,-0.00165731,0.00522717,-0.000156267
24500,923.403184,395,-0.00194887,0.0060476,-0.000168804
24500,812.834794,396,-0.00191567,0.00596812,-0.000173297
24500,586.189847,397,-0.00156242,0.00493767,-0.000149341
24500,329.764898,398,-0.00102872,0.00341141,-0.000121192
24500,142.322389,399,-0.000568401,0.00209738,-0.0000948
24500,90.605789,400,-0.000236398,0.00114638,-0.0000897
24500,200.255937,401,-0.000252668,0.00122978,-0.000077
24500,421.199115,402,-0.000597014,0.00221525,-0.0000942
24500,668.781877,403,-0.00111513,0.00367924,-0.000117949
25500,907.313186,404,-0.00177899,0.00554232,-0.00016347
25500,917.282864,405,-0.0020013,0.00616788,-0.000179576
25500,767.624977,406,-0.00189218,0.00582683,-0.000179134
25500,521.250105,407,-0.00146529,0.0046227,-0.000145854
25500,275.616265,408,-0.000911696,0.00305467,-0.000105799
25500,121.142903,409,-0.000444496,0.001721,-0.0000896
25500,116.890899,410,-0.000245245,0.0011464,-0.0000822
25500,263.456177,411,-0.000369762,0.00150956,-0.000081
25500,500.16724,412,-0.000785999,0.00267903,-0.000131136
25500,743.208136,413,-0.00131288,0.00417824,-0.000137123
26500,776.579967,414,-0.00139838,0.00448406,-0.000136891
26500,895.475199,415,-0.0018024,0.00563085,-0.000160116
26500,863.375737,416,-0.0019363,0.00600606,-0.00017233
26500,683.808861,417,-0.00172387,0.00540719,-0.000158419
26500,431.523113,418,-0.00125488,0.00405628,-0.000122299
26500,201.045134,419,-0.000710256,0.00250646,-0.000109896
26500,86.62759,420,-0.000298927,0.00134949,-0.0000802
26500,125.362694,421,-0.000188956,0.00102056,-0.0000695
26500,315.140579,422,-0.000405552,0.00167017,-0.0000839
26500,566.298829,423,-0.000889032,0.00302484,-0.0000992
27500,824.962687,424,-0.00152593,0.00482355,-0.000138656
27500,906.024697,425,-0.00188639,0.00584205,-0.000164168
27500,832.645296,426,-0.00193768,0.00597628,-0.000164535
27500,629.015938,427,-0.00164083,0.00514097,-0.000155764
27500,371.57628,428,-0.00113125,0.0036859,-0.000119141
27500,159.491463,429,-0.00060047,0.00217571,-0.0000928
