Nb of cycle	Image name	Date	Time	Time [ms]	ai0	ai1	ai2	ai3	ai4	ai5	ai6	ai7	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0101_0.tif	2020.11.01	19:33:13	,616	3,541445	-68,247872	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0102_0.tif	2020.11.01	19:33:13	,868	3,245627	-68,337850	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0103_0.tif	2020.11.01	19:33:14	,117	2,889001	-68,408106	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0104_0.tif	2020.11.01	19:33:14	,368	2,560314	-68,527666	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0105_0.tif	2020.11.01	19:33:14	,615	2,239844	-68,620108	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0106_0.tif	2020.11.01	19:33:14	,866	1,878288	-68,697760	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0107_0.tif	2020.11.01	19:33:15	,116	1,557818	-68,801296	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0108_0.tif	2020.11.01	19:33:15	,368	1,253782	-68,867855	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0109_0.tif	2020.11.01	19:33:15	,615	0,987546	-68,929484	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0110_0.tif	2020.11.01	19:33:15	,866	0,747604	-69,020694	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0111_0.tif	2020.11.01	19:33:16	,117	0,583261	-69,097113	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0112_0.tif	2020.11.01	19:33:16	,366	0,445212	-69,092183	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0113_0.tif	2020.11.01	19:33:16	,615	0,387692	-69,136555	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0114_0.tif	2020.11.01	19:33:16	,866	0,382761	-69,130392	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0115_0.tif	2020.11.01	19:33:17	,115	0,450142	-69,109439	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0116_0.tif	2020.11.01	19:33:17	,366	0,556966	-69,088485	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0117_0.tif	2020.11.01	19:33:17	,616	0,744317	-69,081090	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
2	GRASSHOPER_1_cycles_CA_Pl1_S60_R0.1_LR1_1_cycle_0000000002__0118_0.tif	2020.11.01	19:33:17	,866	0,976042	-69,036717	-0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	
