N_cycles,Load,eyy,exx,Specimen_name
1610,752.932826,-0.00278584,0.00770582,
1810,900.374065,-0.00317403,0.00874523,
1810,985.567072,-0.00341423,0.00940491,
1810,1067.649593,-0.0036193,0.00994263,
1810,1089.202761,-0.00364906,0.0100222,
1810,1068.316185,-0.00357277,0.00983606,
1810,1008.559619,-0.00335932,0.00927047,
1810,887.916596,-0.00301186,0.00836716,
1810,748.464773,-0.00259753,0.00728127,
1810,595.599732,-0.00218274,0.00619254,
1810,448.502571,-0.00177906,0.00513569,
1810,307.037858,-0.00140408,0.00414741,
1810,199.477085,-0.00114492,0.00347255,
1810,135.70287,-0.000991049,0.00306746,
1810,112.116606,-0.000949326,0.00295036,
1810,133.022064,-0.00102552,0.00317874,
1810,204.751754,-0.00123552,0.00374482,
1810,310.834463,-0.0015524,0.00458289,
1810,456.622297,-0.00195662,0.00562043,
1810,602.275219,-0.00235816,0.00668632,
1810,754.758689,-0.00278322,0.00781167,
2010,899.929673,-0.00317139,0.00889724,
2010,987.180414,-0.00342654,0.00958207,
2010,1067.775183,-0.00362611,0.0100761,
2010,1088.753535,-0.00365657,0.0101723,
2010,1070.745867,-0.00358071,0.00995411,
2010,1008.347082,-0.00337749,0.00938864,
2010,888.312684,-0.00301789,0.00847889,
2010,749.783453,-0.0025999,0.00736995,
2010,592.551808,-0.00219776,0.00627818,
2010,449.173982,-0.00179186,0.00521945,
2010,307.110312,-0.00142114,0.00421762,
2010,197.617426,-0.00115525,0.00352707,
2010,138.765269,-0.00101052,0.0031331,
2010,109.546896,-0.000952773,0.00299057,
2010,133.703134,-0.0010521,0.00324131,
2010,206.229821,-0.00126605,0.00380276,
2010,313.341382,-0.00158299,0.00464267,
2010,458.274258,-0.0019775,0.00567718,
2010,602.956292,-0.00238573,0.0067423,
2010,757.618243,-0.00283016,0.00790604,
2210,901.185563,-0.00323371,0.00893819,
2210,988.629524,-0.00350441,0.00961649,
2210,1068.528722,-0.00368893,0.0101211,
2210,1090.149516,-0.00372412,0.0102209,
2210,1068.591517,-0.00364282,0.010002,
2210,1007.337535,-0.00343218,0.00945515,
2210,889.868056,-0.0030825,0.00852851,
2210,744.465263,-0.00266734,0.00742107,
2210,594.107167,-0.00226354,0.00635175,
2210,449.072546,-0.00184775,0.00526744,
2210,304.448824,-0.00147251,0.00428276,
2210,199.844187,-0.00122377,0.00362125,
2210,137.852346,-0.00106149,0.00320364,
2210,109.054207,-0.00101182,0.0030681,
2210,133.529244,-0.0011101,0.00332865,
2210,206.379559,-0.0013272,0.00389683,
2210,313.510442,-0.00164131,0.00473734,
2210,460.761861,-0.00204178,0.00578884,
2210,602.888668,-0.00243132,0.00682591,
2210,756.927506,-0.00287868,0.00799082,
2410,901.026162,-0.00321892,0.00900145,
2410,986.079091,-0.00348301,0.00968924,
2410,1067.673745,-0.00367955,0.0102128,
2410,1088.05796,-0.0037167,0.0102838,
2410,1068.340337,-0.00363779,0.0100867,
2410,1008.173189,-0.00343041,0.00952118,
2410,888.008372,-0.00306869,0.00859035,
2410,744.479754,-0.00264922,0.00748686,
2410,594.198943,-0.00224401,0.0064161,
2410,445.691339,-0.0018341,0.00533236,
2410,304.009268,-0.00145783,0.0043434,
2410,198.911942,-0.00120314,0.00366805,
2410,136.113444,-0.00104515,0.00326258,
2410,111.367912,-0.000999647,0.00313524,
2410,133.28773,-0.00109843,0.00338863,
2410,208.722247,-0.00131643,0.00396278,
2410,313.370364,-0.00162605,0.00479472,
2410,461.795544,-0.00203523,0.00585684,
2410,605.42941,-0.00243049,0.00690331,
2410,754.879448,-0.00286774,0.00805037,
2610,902.774749,-0.00327392,0.00909055,
2610,989.991687,-0.00353003,0.00977501,
2610,1067.7462,-0.0037254,0.0102803,
2610,1091.289487,-0.00376628,0.0103778,
2610,1068.924813,-0.00367911,0.0101447,
