Machine_N_cycles,Machine_Load,Machine_Displacement,index,Camera_N_cycles,exx,eyy,exy,crack_length,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips
13,6.26980957,3.333701752,,,,,,,,,,,,,
13,6.306537109,3.344205907,,,,,,,,,,,,,
13,6.331599121,3.352047643,,,,,,,,,,,,,
13,6.353030273,3.36031639,,,,,,,,,,,,,
13,6.363422852,3.368011909,,,,,,,,,,,,,
13,6.365305664,3.370376537,,,,,,,,,,,,,
13,6.355943848,3.373618703,,,,,,,,,,,,,
13,6.341486816,3.37188784,,,,,,,,,,,,,
13,6.316883789,3.368086182,,,,,,,,,,,,,
13,6.274654297,3.36104515,,,,,,,,,,,,,
13,6.230057617,3.353786422,,,,,,,,,,,,,
13,6.182305176,3.345375648,,,,,,,,,,,,,
14,6.136234863,3.335692454,,,,,,,,,,,,,
14,6.090336914,3.327288199,,,,,,,,,,,,,
14,6.047722656,3.317246912,,,,,,,,,,,,,
14,6.015976563,3.310093889,,,,,,,,,,,,,
14,5.985550293,3.30495392,,,,,,,,,,,,,
14,5.96644873,3.301175544,,,,,,,,,,,,,
14,5.953338867,3.297054674,,,,,,,,,,,,,
14,5.95524707,3.298310796,,,,,,,,,,,,,
14,5.970991211,3.301039804,,,,,,,,,,,,,
14,5.990052734,3.306562547,,,,,,,,,,,,,
14,6.023449219,3.314936068,,,,,,,,,,,,,
14,6.061044434,3.325785045,,,,,,,,,,,,,
14,6.106232422,3.335330635,,,,,,,,,,,,,
14,6.147911133,3.344892291,,,,,,,,,,,,,
14,6.189463867,3.356686793,,,,,,,,,,,,,
14,6.233753418,3.368429374,,,,,,,,,,,,,
14,6.271278809,3.379117465,,,,,,,,,,,,,
14,6.298003906,3.389177611,,,,,,,,,,,,,
14,6.325194824,3.396764165,,,,,,,,,,,,,
14,6.34501709,3.404423827,,,,,,,,,,,,,
14,6.35216748,3.410570789,,,,,,,,,,,,,
14,6.35640332,3.415150801,,,,,,,,,,,,,
14,6.352691895,3.417583648,,,,,,,,,,,,,
14,6.336304688,3.415443469,,,,,,,,,,,,,
14,6.309526855,3.411761485,,,,,,,,,,,,,
14,6.268807617,3.403255017,,,,,,,,,,,,,
14,6.219845703,3.395878011,,,,,,,,,,,,,
14,6.173422852,3.387096804,,,,,,,,,,,,,
15,6.126246582,3.376890905,,,,,,,,,,,,,
15,6.079225098,3.367455676,,,,,,,,,,,,,
15,6.038111328,3.358815098,,,,,,,,,,,,,
15,6.000636719,3.350939136,,,,,,,,,,,,,
15,5.976667969,3.344840137,,,,,,,,,,,,,
15,5.9559375,3.341411939,,,,,,,,,,,,,
15,5.947223145,3.340363735,,,,,,,,,,,,,
15,5.946016602,3.339589341,,,,,,,,,,,,,
15,5.964213379,3.344645957,,,,,,,,,,,,,
15,5.988989746,3.349629464,,,,,,,,,,,,,
15,6.021624023,3.356328933,,,,,,,,,,,,,
15,6.060141113,3.366811667,,,,,,,,,,,,,
15,6.103414063,3.376730718,,,,,,,,,,,,,
15,6.1471875,3.388664918,,,,,,,,,,,,,
15,6.193215332,3.400252899,,,,,,,,,,,,,
15,6.229460938,3.410643432,,,,,,,,,,,,,
