Crack_length,Load,u,N_cycles,Specimen_name
34.8939,95.162781,2.074809,41003,
34.8939,95.027801,2.07417,41004,
34.8939,95.239529,2.075433,41005,
34.8939,95.185322,2.072525,41006,
35.0369,95.273341,2.079453,42001,
35.0369,95.033168,2.074636,42002,
35.0369,95.122528,2.075298,42003,
35.0369,94.561678,2.067085,42004,
35.0369,94.81339,2.07124,42005,
35.0369,95.204375,2.078746,42006,
35.0369,95.036657,2.073096,43001,
35.0369,94.657211,2.077612,43002,
35.0369,94.714101,2.078378,43003,
35.0369,94.870012,2.077732,43004,
35.0369,94.743619,2.076297,43005,
35.0369,94.635475,2.077732,43006,
35.0369,94.616958,2.078108,44001,
35.0369,94.604346,2.072788,44002,
35.0369,94.270788,2.075876,44003,
35.0369,94.620447,2.07692,44004,
35.0369,94.22812,2.074366,44005,
35.0369,94.376249,2.076207,44006,
35.0369,94.169084,2.07656,45001,
35.1799,94.252004,2.077063,45002,
35.1799,94.381079,2.073983,45003,
35.1799,94.267299,2.073006,45004,
35.1799,94.382153,2.073028,45005,
35.1799,94.42321,2.078476,45006,
35.1799,93.870143,2.077026,46001,
35.1799,94.054767,2.077837,46002,
35.1799,94.065769,2.080753,46003,
35.1799,93.665124,2.072082,46004,
35.1799,94.228657,2.079377,46005,
35.1799,93.85592,2.074328,46006,
35.1799,93.849211,2.076402,47001,
35.1799,93.869338,2.074644,47002,
35.1799,94.044301,2.074599,47003,
35.1799,93.942329,2.083615,47004,
35.1799,93.874705,2.081346,47005,
35.1799,93.938572,2.081263,47006,
35.1799,93.646339,2.07523,48001,
35.1799,93.748849,2.078596,48002,
35.1799,93.650365,2.076973,48003,
35.1799,93.808959,2.076515,48004,
35.1799,93.668612,2.074666,48005,
35.1799,93.625945,2.077454,48006,
35.1799,93.422805,2.07783,49001,
35.1799,93.714232,2.075733,49002,
35.1799,93.711817,2.076695,49003,
35.1799,93.788028,2.076673,49004,
35.1799,93.594011,2.074095,49005,
35.1799,93.360816,2.074471,49006,
35.1799,93.40241,2.076582,50001,
35.3229,93.647413,2.076049,50002,
35.3229,93.636142,2.076695,50003,
35.3229,93.306878,2.07822,50004,
35.3229,93.543293,2.075846,50005,
35.3229,93.415559,2.074516,50006,
35.609,91.259642,2.078401,60001,
35.609,91.352222,2.078882,60002,
35.609,91.271181,2.076605,60003,
35.609,91.132981,2.076515,60004,
35.609,91.056502,2.078987,60005,
