stress_ratio,cycles_to_failure,stress_max,stress_lowerbound,stress_upperbound
-1.0,1080000,80.37949760667978,83.03189878853775,76.86851918909626
-1.0,1090000,80.33799591979034,82.99335098115603,76.81745245985803
-1.0,1100000,80.29687324903279,82.95518993862008,76.76681737479726
-1.0,1110000,80.25612273424485,82.91740814188786,76.71660663981693
-1.0,1120000,80.21573769984768,82.8799982858348,76.66681314547306
-1.0,1130000,80.1757116482826,82.84295327131055,76.61742996074643
-1.0,1140000,80.1360382537371,82.80626619755587,76.5684503270777
-1.0,1150000,80.09671135614471,82.76993035496312,76.51986765265136
-1.0,1160000,80.05772495544477,82.73393921816029,76.47167550691648
-1.0,1170000,80.01907320608844,82.69828643940252,76.42386761533221
-1.0,1180000,79.98075041177862,82.6629658422548,76.37643785432688
-1.0,1190000,79.94275102043167,82.62797141554948,76.3293802464615
-1.0,1200000,79.90506961935017,82.59329730760669,76.28268895578559
-1.0,1210000,79.86770093059579,82.55893782070208,76.23635828337832
-1.0,1220000,79.83063980655254,82.52488740577078,76.19038266306441
-1.0,1230000,79.79388122567143,82.49114065733501,76.14475665729765
-1.0,1240000,79.7574202883871,82.45769230864406,76.09947495320375
-1.0,1250000,79.72125221319851,82.42453722701681,76.05453235877525
-1.0,1260000,79.68537233290601,82.3916704093761,76.00992379921121
-1.0,1270000,79.64977609099675,82.35908697796606,75.96564431339559
-1.0,1280000,79.61445903817226,82.32678217624343,75.92168905050735
-1.0,1290000,79.57941682901081,82.29475136493426,75.87805326675719
-1.0,1300000,79.54464521875883,82.26299001824866,75.83473232224436
-1.0,1310000,79.51014006024528,82.2314937202455,75.79172167792906
-1.0,1320000,79.47589730091318,82.20025816134076,75.74901689271456
-1.0,1330000,79.44191297996333,82.16927913495175,75.70661362063512
-1.0,1340000,79.40818322560494,82.1385525342723,75.66450760814436
-1.0,1350000,79.37470425240849,82.1080743491714,75.62269469150031
-1.0,1360000,79.34147235875625,82.07784066321146,75.58117079424241
-1.0,1370000,79.30848392438615,82.04784765077865,75.53993192475751
-1.0,1380000,79.2757354080251,82.01809157432228,75.49897417393011
-1.0,1390000,79.24322334510767,81.9885687816969,75.4582937128741
-1.0,1400000,79.21094434557641,81.9592757036037,75.4178867907419
-1.0,1410000,79.17889509176077,81.93020885112583,75.37774973260875
-1.0,1420000,79.14707233633061,81.90136481335385,75.3378789374285
-1.0,1430000,79.11547290032183,81.87274025509858,75.29827087605744
-1.0,1440000,79.08409367123059,81.84433191468528,75.25892208934494
-1.0,1450000,79.0529316011735,81.81613660182758,75.21982918628687
-1.0,1460000,79.02198370511115,81.78815119557753,75.18098884223971
-1.0,1470000,78.99124705913223,81.76037264234749,75.14239779719317
-1.0,1480000,78.96071879879565,81.73279795400175,75.10405285409927
-1.0,1490000,78.93039611752876,81.70542420601511,75.06595087725464
-1.0,1500000,78.90027626507892,81.67824853569506,75.02808879073496
-1.0,1510000,78.8703565460166,81.65126814046492,74.99046357687955
-1.0,1520000,78.84063431828791,81.62448027620661,74.95307227482319
-1.0,1530000,78.81110699181458,81.5978822556584,74.91591197907492
-1.0,1540000,78.78177202713941,81.57147144686834,74.87897983814028
-1.0,1550000,78.75262693411581,81.54524527169843,74.84227305318709
-1.0,1560000,78.72366927063925,81.51920120437907,74.80578887675186
-1.0,1570000,78.69489664141932,81.49333677011137,74.76952461148625
-1.0,1580000,78.66630669679087,81.46764954371572,74.73347760894092
-1.0,1590000,78.63789713156243,81.44213714832398,74.6976452683873
-1.0,1600000,78.60966568390099,81.41679725411498,74.66202503567354
-1.0,1610000,78.58161013425133,81.39162757708988,74.62661440211586
-1.0,1620000,78.55372830428891,81.36662587788797,74.5914109034217
-1.0,1630000,78.52601805590486,81.34178996063933,74.55641211864544
-1.0,1640000,78.49847729022224,81.31711767185422,74.52161566917464
